pid,Number,Name,Type1,Type2,Abilities,HP,Att,Def,Spa,Spd,Spe,BST,Mean,Experience,FinalEvolution,CatchRate,Legendary,Height,Weight,BMI,outterR,innerR,Img
284,18,Pidgeot,Normal,Flying,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",83,80,75,70,70,101,479,79.83333333,1059860,1,45,0,1.5,39.5,17.6,7.75,1.9375,pidgeot
285,18,Mega Pidgeot,Normal,Flying,['No Guard'],83,80,80,135,80,121,579,96.5,1059860,1,45,0,2.2,50.5,10.4,8,2,mega pidgeot
520,19,Rattata,Normal,,"['Guts', 'Hustle', 'Run Away']",30,56,35,25,35,72,253,42.16666667,1000000,0,255,0,0.3,3.5,38.9,4.55,1.1375,rattata
521,19,Alolan Rattata,Dark,Normal,"['Gluttony', 'Hustle', 'Thick Fat']",30,56,35,25,35,72,253,42.16666667,1000000,0,255,0,0.3,3.8,42.2,4.55,1.1375,alolan rattata
522,20,Raticate,Normal,,"['Guts', 'Hustle', 'Run Away']",55,81,60,50,70,97,413,68.83333333,1000000,1,127,0,0.7,18.5,37.8,7.05,1.7625,raticate
523,20,Alolan Raticate,Dark,Normal,"['Gluttony', 'Hustle', 'Thick Fat']",75,71,70,40,80,77,413,68.83333333,1000000,1,127,0,0.7,25.5,52,7.05,1.7625,alolan raticate
524,21,Spearow,Normal,Flying,"['Keen Eye', 'Sniper']",40,60,30,31,31,70,262,43.66666667,1000000,0,255,0,0.3,2,22.2,4.5,1.125,spearow
525,22,Fearow,Normal,Flying,"['Keen Eye', 'Sniper']",65,90,65,61,61,100,442,73.66666667,1000000,1,90,0,1.2,38,26.4,7.75,1.9375,fearow
526,23,Ekans,Poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",35,60,44,40,54,55,288,48,1000000,0,255,0,2,6.9,1.7,5.2,1.3,ekans
527,24,Arbok,Poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",60,95,69,65,79,80,448,74.66666667,1000000,1,90,0,3.5,65,5.3,8.2,2.05,arbok
528,25,Pikachu,Electric,,"['Lightning Rod', 'Static']",35,55,40,50,50,90,320,53.33333333,1000000,0,190,0,0.4,6,37.5,4.75,1.1875,pikachu
529,26,Raichu,Electric,,"['Lightning Rod', 'Static']",60,90,55,90,80,110,485,80.83333333,1000000,1,75,0,0.8,30,46.9,7.25,1.8125,raichu
530,26,Alolan Raichu,Electric,Psychic,['Surge Surfer'],60,85,50,95,85,110,485,80.83333333,1000000,1,75,0,0.7,21,42.9,6.75,1.6875,alolan raichu
531,27,Sandshrew,Ground,,"['Sand Rush', 'Sand Veil']",50,75,85,20,30,40,300,50,1000000,0,255,0,0.6,12,33.3,8,2,sandshrew
532,27,Alolan Sandshrew,Ice,Steel,"['Slush Rush', 'Snow Cloak']",50,75,90,10,35,40,300,50,1000000,0,255,0,0.7,40,81.6,8.25,2.0625,alolan sandshrew
533,28,Sandslash,Ground,,"['Sand Rush', 'Sand Veil']",75,100,110,45,55,65,450,75,1000000,1,90,0,1,29.5,29.5,10.5,2.625,sandslash
534,28,Alolan Sandslash,Ice,Steel,"['Slush Rush', 'Snow Cloak']",75,100,120,25,65,65,450,75,1000000,1,90,0,1.2,55,38.2,11,2.75,alolan sandslash
286,29,Nidoran¹\£á,Poison,,"['Hustle', 'Poison Point', 'Rivalry']",55,47,52,40,40,41,275,45.83333333,1059860,0,235,0,0.4,7,43.8,4.95,1.2375,nidoran??¤ç«þ
287,30,Nidorina,Poison,,"['Hustle', 'Poison Point', 'Rivalry']",70,62,67,55,55,56,365,60.83333333,1059860,0,120,0,0.8,20,31.3,6.45,1.6125,nidorina
288,31,Nidoqueen,Poison,Ground,"['Poison Point', 'Rivalry', 'Sheer Force']",90,92,87,75,85,76,505,84.16666667,1059860,1,45,0,1.3,60,35.5,8.95,2.2375,nidoqueen
1032,32,Nidoran¹\?Poison,,"['Hustle', 'Poison Point', 'Rivalry']",46,57,40,40,40,50,273,45.5,6.370504951,0,235,0,0,9,36,,4,1,nidoran??poison
289,33,Nidorino,Poison,,"['Hustle', 'Poison Point', 'Rivalry']",61,72,57,55,55,65,365,60.83333333,1059860,0,120,0,0.9,19.5,24.1,6.45,1.6125,nidorino
290,34,Nidoking,Poison,Ground,"['Poison Point', 'Rivalry', 'Sheer Force']",81,102,77,85,75,85,505,84.16666667,1059860,1,45,0,1.4,62,31.6,8.95,2.2375,nidoking
939,35,Clefairy,Fairy,,"['Cute Charm', 'Friend Guard', 'Magic Guard']",70,45,48,60,65,35,323,53.83333333,800000,0,150,0,0.6,7.5,20.8,4.65,1.1625,clefairy
940,36,Clefable,Fairy,,"['Cute Charm', 'Magic Guard', 'Unaware']",95,70,73,95,90,60,483,80.5,800000,1,25,0,1.3,40,23.7,7.15,1.7875,clefable
536,37,Vulpix,Fire,,"['Drought', 'Flash Fire']",38,41,40,50,65,65,299,49.83333333,1000000,0,190,0,0.6,9.9,27.5,4.05,1.0125,vulpix
535,37,Alolan Vulpix,Ice,,"['Snow Cloak', 'Snow Warning']",38,41,40,50,65,65,299,49.83333333,1000000,0,190,0,0.6,9.9,27.5,4.05,1.0125,alolan vulpix
537,38,Ninetales,Fire,,"['Drought', 'Flash Fire']",73,76,75,81,100,100,505,84.16666667,1000000,1,75,0,1.1,19.9,16.4,7.55,1.8875,ninetales
538,38,Alolan Ninetales,Ice,Fairy,"['Snow Cloak', 'Snow Warning']",73,67,75,81,100,109,505,84.16666667,1000000,1,75,0,1.1,19.9,16.4,7.1,1.775,alolan ninetales
941,39,Jigglypuff,Normal,Fairy,"['Competitive', 'Cute Charm', 'Friend Guard']",115,45,20,45,25,20,270,45,800000,0,170,0,0.5,5.5,22,3.25,0.8125,jigglypuff
942,40,Wigglytuff,Normal,Fairy,"['Competitive', 'Cute Charm', 'Frisk']",140,70,45,85,50,45,435,72.5,800000,1,50,0,1,12,12,5.75,1.4375,wigglytuff
539,41,Zubat,Poison,Flying,"['Infiltrator', 'Inner Focus']",40,45,35,30,40,55,245,40.83333333,1000000,0,255,0,0.8,7.5,11.7,4,1,zubat
540,42,Golbat,Poison,Flying,"['Infiltrator', 'Inner Focus']",75,80,70,65,75,90,455,75.83333333,1000000,0,90,0,1.6,55,21.5,7.5,1.875,golbat
291,43,Oddish,Grass,Poison,"['Chlorophyll', 'Run Away']",45,50,55,75,65,30,320,53.33333333,1059860,0,255,0,0.5,5.4,21.6,5.25,1.3125,oddish
292,44,Gloom,Grass,Poison,"['Chlorophyll', 'Stench']",60,65,70,85,75,40,395,65.83333333,1059860,0,120,0,0.8,8.6,13.4,6.75,1.6875,gloom
293,45,Vileplume,Grass,Poison,"['Chlorophyll', 'Effect Spore']",75,80,85,110,90,50,490,81.66666667,1059860,1,45,0,1.2,18.6,12.9,8.25,2.0625,vileplume
541,46,Paras,Bug,Grass,"['Damp', 'Dry Skin', 'Effect Spore']",35,70,55,45,55,25,285,47.5,1000000,0,190,0,0.3,5.4,60,6.25,1.5625,paras
542,47,Parasect,Bug,Grass,"['Damp', 'Dry Skin', 'Effect Spore']",60,95,80,60,80,30,405,67.5,1000000,1,75,0,1,29.5,29.5,8.75,2.1875,parasect
543,48,Venonat,Bug,Poison,"['Run Away', 'Tinted Lens']",60,55,50,40,55,45,305,50.83333333,1000000,0,190,0,1,30,30,5.25,1.3125,venonat
544,49,Venomoth,Bug,Poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin']",70,65,60,90,75,90,450,75,1000000,1,75,0,1.5,12.5,5.6,6.25,1.5625,venomoth
546,50,Diglett,Ground,,"['Arena Trap', 'Sand Force', 'Sand Veil']",10,55,25,35,45,95,265,44.16666667,1000000,0,255,0,0.2,0.8,20,4,1,diglett
545,50,Alolan Diglett,Ground,Steel,"['Sand Force', 'Sand Veil', 'Tangling Hair']",10,55,30,35,45,90,265,44.16666667,1000000,0,255,0,0.2,1,25,4.25,1.0625,alolan diglett
547,51,Dugtrio,Ground,,"['Arena Trap', 'Sand Force', 'Sand Veil']",35,100,50,50,70,120,425,70.83333333,1000000,1,50,0,0.7,33.3,68,7.5,1.875,dugtrio
548,51,Alolan Dugtrio,Ground,Steel,"['Sand Force', 'Sand Veil', 'Tangling Hair']",35,100,60,50,70,110,425,70.83333333,1000000,1,50,0,0.7,66.6,135.9,8,2,alolan dugtrio
549,52,Meowth,Normal,,"['Pickup', 'Technician', 'Unnerve']",40,45,35,40,40,90,290,48.33333333,1000000,0,255,0,0.4,4.2,26.3,4,1,meowth
551,52,Alolan Meowth,Dark,,"['Pickup', 'Rattled', 'Technician']",40,35,35,50,40,90,290,48.33333333,1000000,0,255,0,0.4,4.2,26.3,3.5,0.875,alolan meowth
550,52,Galarian Meowth,Steel,,"['Pickup', 'Tough Claws', 'Unnerve']",50,65,55,40,40,40,290,48.33333333,1000000,0,255,0,0.4,7.5,46.9,6,1.5,galarian meowth
552,53,Persian,Normal,,"['Limber', 'Technician', 'Unnerve']",65,70,60,65,65,115,440,73.33333333,1000000,1,90,0,1,32,32,6.5,1.625,persian
553,53,Alolan Persian,Dark,,"['Fur Coat', 'Rattled', 'Technician']",65,60,60,75,65,115,440,73.33333333,1000000,1,90,0,1.1,33,27.3,6,1.5,alolan persian
554,54,Psyduck,Water,,"['Cloud Nine', 'Damp', 'Swift Swim']",50,52,48,65,50,55,320,53.33333333,1000000,0,190,0,0.8,19.6,30.6,5,1.25,psyduck
555,55,Golduck,Water,,"['Cloud Nine', 'Damp', 'Swift Swim']",80,82,78,95,80,85,500,83.33333333,1000000,1,75,0,1.7,76.6,26.5,8,2,golduck
556,56,Mankey,Fighting,,"['Anger Point', 'Defiant', 'Vital Spirit']",40,80,35,35,45,70,305,50.83333333,1000000,0,190,0,0.5,28,112,5.75,1.4375,mankey
557,57,Primeape,Fighting,,"['Anger Point', 'Defiant', 'Vital Spirit']",65,105,60,60,70,95,455,75.83333333,1000000,1,75,0,1,32,32,8.25,2.0625,primeape
15,58,Growlithe,Fire,,"['Flash Fire', 'Intimidate', 'Justified']",55,70,45,70,50,60,350,58.33333333,1250000,0,190,0,0.7,19,38.8,5.75,1.4375,growlithe
16,59,Arcanine,Fire,,"['Flash Fire', 'Intimidate', 'Justified']",90,110,80,100,80,95,555,92.5,1250000,1,75,0,1.9,155,42.9,9.5,2.375,arcanine
294,60,Poliwag,Water,,"['Damp', 'Swift Swim', 'Water Absorb']",40,50,40,40,40,90,300,50,1059860,0,255,0,0.6,12.4,34.4,4.5,1.125,poliwag
295,61,Poliwhirl,Water,,"['Damp', 'Swift Swim', 'Water Absorb']",65,65,65,50,50,90,385,64.16666667,1059860,0,120,0,1,20,20,6.5,1.625,poliwhirl
296,62,Poliwrath,Water,Fighting,"['Damp', 'Swift Swim', 'Water Absorb']",90,95,95,70,90,70,510,85,1059860,1,45,0,1.3,54,32,9.5,2.375,poliwrath
297,63,Abra,Psychic,,"['Inner Focus', 'Magic Guard', 'Synchronize']",25,20,15,105,55,90,310,51.66666667,1059860,0,200,0,0.9,19.5,24.1,1.75,0.4375,abra
298,64,Kadabra,Psychic,,"['Inner Focus', 'Magic Guard', 'Synchronize']",40,35,30,120,70,105,400,66.66666667,1059860,0,100,0,1.3,56.5,33.4,3.25,0.8125,kadabra
299,65,Alakazam,Psychic,,"['Inner Focus', 'Magic Guard', 'Synchronize']",55,50,45,135,95,120,500,83.33333333,1059860,1,50,0,1.5,48,21.3,4.75,1.1875,alakazam
300,65,Mega Alakazam,Psychic,,['Trace'],55,50,65,175,95,150,590,98.33333333,1059860,1,50,0,1.2,48,33.3,5.75,1.4375,mega alakazam
301,66,Machop,Fighting,,"['Guts', 'No Guard', 'Steadfast']",70,80,50,35,35,35,305,50.83333333,1059860,0,180,0,0.8,19.5,30.5,6.5,1.625,machop
302,67,Machoke,Fighting,,"['Guts', 'No Guard', 'Steadfast']",80,100,70,50,60,45,405,67.5,1059860,0,90,0,1.5,70.5,31.3,8.5,2.125,machoke
303,68,Machamp,Fighting,,"['Guts', 'No Guard', 'Steadfast']",90,130,80,65,85,55,505,84.16666667,1059860,1,45,0,1.6,130,50.8,10.5,2.625,machamp
304,69,Bellsprout,Grass,Poison,"['Chlorophyll', 'Gluttony']",50,75,35,70,30,40,300,50,1059860,0,255,0,0.7,4,8.2,5.5,1.375,bellsprout
305,70,Weepinbell,Grass,Poison,"['Chlorophyll', 'Gluttony']",65,90,50,85,45,55,390,65,1059860,0,120,0,1,6.4,6.4,7,1.75,weepinbell
306,71,Victreebel,Grass,Poison,"['Chlorophyll', 'Gluttony']",80,105,65,100,70,70,490,81.66666667,1059860,1,45,0,1.7,15.5,5.4,8.5,2.125,victreebel
17,72,Tentacool,Water,Poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",40,40,35,50,100,70,335,55.83333333,1250000,0,190,0,0.9,45.5,56.2,3.75,0.9375,tentacool
18,73,Tentacruel,Water,Poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",80,70,65,80,120,100,515,85.83333333,1250000,1,60,0,1.6,55,21.5,6.75,1.6875,tentacruel
308,74,Geodude,Rock,Ground,"['Rock Head', 'Sand Veil', 'Sturdy']",40,80,100,30,30,20,300,50,1059860,0,255,0,0.4,20,125,9,2.25,geodude
307,74,Alolan Geodude,Rock,Electric,"['Galvanize', 'Magnet Pull', 'Sturdy']",40,80,100,30,30,20,300,50,1059860,0,255,0,0.4,20.3,126.9,9,2.25,alolan geodude
309,75,Graveler,Rock,Ground,"['Rock Head', 'Sand Veil', 'Sturdy']",55,95,115,45,45,35,390,65,1059860,0,120,0,1,105,105,10.5,2.625,graveler
310,75,Alolan Graveler,Rock,Electric,"['Galvanize', 'Magnet Pull', 'Sturdy']",55,95,115,45,45,35,390,65,1059860,0,120,0,1,110,110,10.5,2.625,alolan graveler
312,76,Golem,Rock,Ground,"['Rock Head', 'Sand Veil', 'Sturdy']",80,120,130,55,65,45,495,82.5,1059860,1,45,0,1.4,300,153.1,12.5,3.125,golem
311,76,Alolan Golem,Rock,Electric,"['Galvanize', 'Magnet Pull', 'Sturdy']",80,120,130,55,65,45,495,82.5,1059860,1,45,0,1.7,316,109.3,12.5,3.125,alolan golem
558,77,Ponyta,Fire,,"['Flame Body', 'Flash Fire', 'Run Away']",50,85,55,65,65,90,410,68.33333333,1000000,0,190,0,1,30,30,7,1.75,ponyta
559,77,Galarian Ponyta,Psychic,,"['Anticipation', 'Pastel Veil', 'Run Away']",50,85,55,65,65,90,410,68.33333333,1000000,0,190,0,0.8,24,37.5,7,1.75,galarian ponyta
561,78,Rapidash,Fire,,"['Flame Body', 'Flash Fire', 'Run Away']",65,100,70,80,80,105,500,83.33333333,1000000,1,60,0,1.7,95,32.9,8.5,2.125,rapidash
560,78,Galarian Rapidash,Psychic,Fairy,"['Anticipation', 'Pastel Veil', 'Run Away']",65,100,70,80,80,105,500,83.33333333,1000000,1,60,0,1.7,80,27.7,8.5,2.125,galarian rapidash
562,79,Slowpoke,Water,Psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",90,65,65,40,40,15,315,52.5,1000000,0,190,0,1.2,36,25,6.5,1.625,slowpoke
563,79,Galarian Slowpoke,Psychic,,"['Gluttony', 'Own Tempo', 'Regenerator']",90,65,65,40,40,15,315,52.5,1000000,0,190,0,1.2,36,25,6.5,1.625,galarian slowpoke
564,80,Slowbro,Water,Psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",95,75,110,100,80,30,490,81.66666667,1000000,1,75,0,1.6,78.5,30.7,9.25,2.3125,slowbro
565,80,Mega Slowbro,Water,Psychic,['Shell Armor'],95,75,180,130,80,30,590,98.33333333,1000000,1,75,0,2,120,30,12.75,3.1875,mega slowbro
566,80,Galarian Slowbro,Poison,Psychic,"['Own Tempo', 'Quick Draw', 'Regenerator']",95,100,95,100,70,30,490,81.66666667,1000000,1,75,0,1.6,70.5,27.5,9.75,2.4375,galarian slowbro
567,81,Magnemite,Electric,Steel,"['Analytic', 'Magnet Pull', 'Sturdy']",25,35,70,95,55,45,325,54.16666667,1000000,0,190,0,0.3,6,66.7,5.25,1.3125,magnemite
568,82,Magneton,Electric,Steel,"['Analytic', 'Magnet Pull', 'Sturdy']",50,60,95,120,70,70,465,77.5,1000000,0,60,0,1,60,60,7.75,1.9375,magneton
569,83,Farfetch'd,Normal,Flying,"['Defiant', 'Inner Focus', 'Keen Eye']",52,90,55,58,62,60,377,62.83333333,1000000,1,45,0,0.8,15,23.4,7.25,1.8125,farfetch'd
570,83,Galarian Farfetch'd,Fighting,,"['Scrappy', 'Steadfast']",52,95,55,58,62,55,377,62.83333333,1000000,0,45,0,0.8,42,65.6,7.5,1.875,galarian farfetch'd
571,84,Doduo,Normal,Flying,"['Early Bird', 'Run Away', 'Tangled Feet']",35,85,45,35,35,75,310,51.66666667,1000000,0,190,0,1.4,39.2,20,6.5,1.625,doduo
572,85,Dodrio,Normal,Flying,"['Early Bird', 'Run Away', 'Tangled Feet']",60,110,70,60,60,110,470,78.33333333,1000000,1,45,0,1.8,85.2,26.3,9,2.25,dodrio
573,86,Seel,Water,,"['Hydration', 'Ice Body', 'Thick Fat']",65,45,55,45,70,45,325,54.16666667,1000000,0,190,0,1.1,90,74.4,5,1.25,seel
574,87,Dewgong,Water,Ice,"['Hydration', 'Ice Body', 'Thick Fat']",90,70,80,70,95,70,475,79.16666667,1000000,1,75,0,1.7,120,41.5,7.5,1.875,dewgong
576,88,Grimer,Poison,,"['Poison Touch', 'Stench', 'Sticky Hold']",80,80,50,40,50,25,325,54.16666667,1000000,0,190,0,0.9,30,37,6.5,1.625,grimer
575,88,Alolan Grimer,Poison,Dark,"['Gluttony', 'Poison Touch', 'Power of Alchemy']",80,80,50,40,50,25,325,54.16666667,1000000,0,190,0,0.7,42,85.7,6.5,1.625,alolan grimer
578,89,Muk,Poison,,"['Poison Touch', 'Stench', 'Sticky Hold']",105,105,75,65,100,50,500,83.33333333,1000000,1,75,0,1.2,30,20.8,9,2.25,muk
577,89,Alolan Muk,Poison,Dark,"['Gluttony', 'Poison Touch', 'Power of Alchemy']",105,105,75,65,100,50,500,83.33333333,1000000,1,75,0,1,52,52,9,2.25,alolan muk
19,90,Shellder,Water,,"['Overcoat', 'Shell Armor', 'Skill Link']",30,65,100,45,25,40,305,50.83333333,1250000,0,190,0,0.3,4,44.4,8.25,2.0625,shellder
20,91,Cloyster,Water,Ice,"['Overcoat', 'Shell Armor', 'Skill Link']",50,95,180,85,45,70,525,87.5,1250000,1,60,0,1.5,132.5,58.9,13.75,3.4375,cloyster
313,92,Gastly,Ghost,Poison,['Levitate'],30,35,30,100,35,80,310,51.66666667,1059860,0,190,0,1.3,0.1,0.1,3.25,0.8125,gastly
314,93,Haunter,Ghost,Poison,['Levitate'],45,50,45,115,55,95,405,67.5,1059860,0,90,0,1.6,0.1,0,4.75,1.1875,haunter
316,94,Gengar,Ghost,Poison,['Cursed Body'],60,65,60,130,75,110,500,83.33333333,1059860,1,45,0,1.5,40.5,18,6.25,1.5625,gengar
315,94,Mega Gengar,Ghost,Poison,['Shadow Tag'],60,65,80,170,95,130,600,100,1059860,1,45,0,1.4,40.5,20.7,7.25,1.8125,mega gengar
579,95,Onix,Rock,Ground,"['Rock Head', 'Sturdy', 'Weak Armor']",35,45,160,30,45,70,385,64.16666667,1000000,0,45,0,8.8,210,2.7,10.25,2.5625,onix
580,96,Drowzee,Psychic,,"['Forewarn', 'Inner Focus', 'Insomnia']",60,48,45,43,90,42,328,54.66666667,1000000,0,190,0,1,32.4,32.4,4.65,1.1625,drowzee
581,97,Hypno,Psychic,,"['Forewarn', 'Inner Focus', 'Insomnia']",85,73,70,73,115,67,483,80.5,1000000,1,75,0,1.6,75.6,29.5,7.15,1.7875,hypno
582,98,Krabby,Water,,"['Hyper Cutter', 'Sheer Force', 'Shell Armor']",30,105,90,25,25,50,325,54.16666667,1000000,0,225,0,0.4,6.5,40.6,9.75,2.4375,krabby
583,99,Kingler,Water,,"['Hyper Cutter', 'Sheer Force', 'Shell Armor']",55,130,115,50,50,75,475,79.16666667,1000000,1,60,0,1.3,60,35.5,12.25,3.0625,kingler
584,100,Voltorb,Electric,,"['Aftermath', 'Soundproof', 'Static']",40,30,50,55,55,100,330,55,1000000,0,190,0,0.5,10.4,41.6,4,1,voltorb
585,101,Electrode,Electric,,"['Aftermath', 'Soundproof', 'Static']",60,50,70,80,80,150,490,81.66666667,1000000,1,60,0,1.2,66.6,46.3,6,1.5,electrode
21,102,Exeggcute,Grass,Psychic,"['Chlorophyll', 'Harvest']",60,40,80,60,45,40,325,54.16666667,1250000,0,90,0,0.4,2.5,15.6,6,1.5,exeggcute
22,103,Exeggutor,Grass,Psychic,"['Chlorophyll', 'Harvest']",95,95,85,125,75,55,530,88.33333333,1250000,1,45,0,2,120,30,9,2.25,exeggutor
23,103,Alolan Exeggutor,Grass,Dragon,"['Frisk', 'Harvest']",95,105,85,125,75,45,530,88.33333333,1250000,1,45,0,10.9,415.6,3.5,9.5,2.375,alolan exeggutor
586,104,Cubone,Ground,,"['Battle Armor', 'Lightning Rod', 'Rock Head']",50,50,95,40,50,35,320,53.33333333,1000000,0,190,0,0.4,6.5,40.6,7.25,1.8125,cubone
587,105,Marowak,Ground,,"['Battle Armor', 'Lightning Rod', 'Rock Head']",60,80,110,50,80,45,425,70.83333333,1000000,1,75,0,1,45,45,9.5,2.375,marowak
588,105,Alolan Marowak,Fire,Ghost,"['Cursed Body', 'Rock Head']",60,80,110,50,80,45,425,70.83333333,1000000,1,75,0,1,34,34,9.5,2.375,alolan marowak
589,106,Hitmonlee,Fighting,,"['Limber', 'Reckless', 'Unburden']",50,120,53,35,110,87,455,75.83333333,1000000,1,45,0,1.5,49.8,22.1,8.65,2.1625,hitmonlee
590,107,Hitmonchan,Fighting,,"['Inner Focus', 'Iron Fist', 'Keen Eye']",50,105,79,35,110,76,455,75.83333333,1000000,1,45,0,1.4,50.2,25.6,9.2,2.3,hitmonchan
591,108,Lickitung,Normal,,"['Cloud Nine', 'Oblivious', 'Own Tempo']",90,55,75,60,75,30,385,64.16666667,1000000,0,45,0,1.2,65.5,45.5,6.5,1.625,lickitung
592,109,Koffing,Poison,,"['Levitate', 'Neutralizing Gas', 'Stench']",40,65,95,60,45,35,340,56.66666667,1000000,0,190,0,0.6,1,2.8,8,2,koffing
593,110,Weezing,Poison,,"['Levitate', 'Neutralizing Gas', 'Stench']",65,90,120,85,70,60,490,81.66666667,1000000,1,60,0,1.2,9.5,6.6,10.5,2.625,weezing
594,110,Galarian Weezing,Poison,Fairy,"['Levitate', 'Misty Surge', 'Neutralizing Gas']",65,90,120,85,70,60,490,81.66666667,1000000,1,60,0,3,16,1.8,10.5,2.625,galarian weezing
24,111,Rhyhorn,Ground,Rock,"['Lightning Rod', 'Reckless', 'Rock Head']",80,85,95,30,30,25,345,57.5,1250000,0,120,0,1,115,115,9,2.25,rhyhorn
25,112,Rhydon,Ground,Rock,"['Lightning Rod', 'Reckless', 'Rock Head']",105,130,120,45,45,40,485,80.83333333,1250000,0,60,0,1.9,120,33.2,12.5,3.125,rhydon
943,113,Chansey,Normal,,"['Healer', 'Natural Cure', 'Serene Grace']",250,5,5,35,105,50,450,75,800000,0,30,0,1.1,34.6,28.6,0.5,0.125,chansey
595,114,Tangela,Grass,,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",65,55,115,100,40,60,435,72.5,1000000,0,45,0,1,35,35,8.5,2.125,tangela
597,115,Kangaskhan,Normal,,"['Early Bird', 'Inner Focus', 'Scrappy']",105,95,80,40,80,90,490,81.66666667,1000000,1,45,0,2.2,80,16.5,8.75,2.1875,kangaskhan
596,115,Mega Kangaskhan,Normal,,['Parental Bond'],105,125,100,60,100,100,590,98.33333333,1000000,1,45,0,2.2,100,20.7,11.25,2.8125,mega kangaskhan
