pid,Number,Name,Type1,Type2,HP,Spa,Spd,Spe,Att,Def,Experience,FinalEvolution,CatchRate,Legendary,outterR,innerR,leftX1,leftX2,rightX2,rightX1,innerX,Height,Weight,BMI
32,130,Gyarados,Water,Flying,60,65,79,80,125,79,1250000,1,45,0,10.2,2.55,34.8,44.75,55.2,49.85,47.3,3.5,65,5.3
33,130,Mega Gyarados,Water,Dark,35,50,50,90,155,109,1250000,1,45,0,13.2,3.3,31.8,44,58.2,50.6,47.3,0.4,6,37.5
34,131,Lapras,Water,Ice,60,90,80,110,85,80,1250000,1,45,0,8.25,2.0625,36.75,43.1875,53.25,47.3125,45.25,0.8,30,46.9
35,142,Aerodactyl,Rock,Flying,60,95,85,110,105,65,1250000,1,45,0,8.5,2.125,36.5,44.875,53.5,49.125,47,0.7,21,42.9
36,142,Mega Aerodactyl,Rock,Flying,50,20,30,40,135,85,1250000,1,45,0,11,2.75,34,44.75,56,50.25,47.5,0.6,12,33.3
37,143,Snorlax,Normal,,50,10,35,40,110,65,1250000,1,25,0,8.75,2.1875,16.25,25.0625,33.75,29.4375,27.25,0.7,40,81.6
38,144,Articuno,Ice,Flying,75,45,55,65,85,100,1250000,1,3,1,9.25,2.3125,-6.25,-0.0625,12.25,4.5625,2.25,1,29.5,29.5
39,144,Galarian Articuno,Psychic,Flying,75,25,65,65,85,85,1250000,1,3,1,8.5,2.125,-5.5,0.875,11.5,5.125,3,1.2,55,38.2
40,145,Zapdos,Electric,Flying,55,40,40,41,90,85,1250000,1,3,1,8.75,2.1875,-5.75,1.0625,11.75,5.4375,3.25,0.4,7,43.8
41,145,Galarian Zapdos,Fighting,Flying,70,55,55,56,125,90,1250000,1,3,1,10.75,2.6875,-7.75,2.0625,13.75,7.4375,4.75,0.8,20,31.3
42,146,Moltres,Fire,Flying,90,75,85,76,100,90,1250000,1,3,1,9.5,2.375,-6.5,1.125,12.5,5.875,3.5,1.3,60,35.5
43,146,Galarian Moltres,Dark,Flying,57,40,50,273,85,90,1250000,1,3,1,8.75,2.1875,-5.75,0.5625,11.75,4.9375,2.75,9,36,
44,147,Dratini,Dragon,,61,55,55,65,64,45,1250000,0,45,0,5.45,1.3625,39.55,44.5875,50.45,47.3125,45.95,0.9,19.5,24.1
45,148,Dragonair,Dragon,,81,85,75,85,84,65,1250000,0,45,0,7.45,1.8625,37.55,44.0875,52.45,47.8125,45.95,1.4,62,31.6
46,149,Dragonite,Dragon,Flying,70,60,65,35,134,95,1250000,1,45,0,11.45,2.8625,33.55,44.0875,56.45,49.8125,46.95,0.6,7.5,20.8
47,150,Mewtwo,Psychic,,95,95,90,60,110,90,1250000,1,3,1,10,2.5,-7,1.5,13,6.5,4,1.3,40,23.7
48,150,Mega Mewtwo Y,Psychic,,38,50,65,65,150,70,1250000,1,3,1,11,2.75,-8,4.25,14,9.75,7,0.6,9.9,27.5
49,150,Mega Mewtwo X,Psychic,Fighting,38,50,65,65,190,100,1250000,1,3,1,14.5,3.625,-11.5,3.875,17.5,11.125,7.5,0.6,9.9,27.5
50,170,Chinchou,Water,Electric,73,81,100,100,38,38,1250000,0,190,0,3.8,0.95,186.2,189.05,193.8,190.95,190,1.1,19.9,16.4
51,171,Lanturn,Water,Electric,73,81,100,109,58,58,1250000,1,75,0,5.8,1.45,69.2,73.55,80.8,76.45,75,1.1,19.9,16.4
52,214,Heracross,Bug,Fighting,115,45,25,20,125,75,1250000,1,45,0,10,2.5,35,45,55,50,47.5,0.5,5.5,22
53,214,Mega Heracross,Bug,Fighting,140,85,50,45,185,115,1250000,1,45,0,15,3.75,30,44.75,60,52.25,48.5,1,12,12
54,220,Swinub,Ice,Ground,40,30,40,55,50,40,1250000,0,225,0,4.5,1.125,220.5,224.375,229.5,226.625,225.5,0.8,7.5,11.7
55,221,Piloswine,Ice,Ground,75,65,75,90,100,80,1250000,0,75,0,9,2.25,66,73.75,84,78.25,76,1.6,55,21.5
56,226,Mantine,Water,Flying,45,75,65,30,40,70,1250000,1,25,0,5.5,1.375,19.5,22.125,30.5,24.875,23.5,0.5,5.4,21.6
57,227,Skarmory,Steel,Flying,60,85,75,40,80,140,1250000,1,25,0,11,2.75,14,19.25,36,24.75,22,0.8,8.6,13.4
58,228,Houndour,Dark,Fire,75,110,90,50,60,30,1250000,0,120,0,4.5,1.125,115.5,120.375,124.5,122.625,121.5,1.2,18.6,12.9
59,229,Houndoom,Dark,Fire,35,45,55,25,90,50,1250000,1,45,0,7,1.75,38,45.25,52,48.75,47,0.3,5.4,60
60,229,Mega Houndoom,Dark,Fire,60,60,80,30,90,90,1250000,1,45,0,9,2.25,36,42.75,54,47.25,45,1,29.5,29.5
61,234,Stantler,Normal,,60,40,55,45,95,62,1250000,1,45,0,7.85,1.9625,37.15,44.6875,52.85,48.6125,46.65,1,30,30
62,241,Miltank,Normal,,70,90,75,90,80,105,1250000,1,45,0,9.25,2.3125,35.75,41.4375,54.25,46.0625,43.75,1.5,12.5,5.6
63,243,Raikou,Electric,,10,35,45,95,85,75,1250000,1,3,1,8,2,-5,1.5,11,5.5,3.5,0.2,0.8,20
64,244,Entei,Fire,,10,35,45,90,115,85,1250000,1,3,1,10,2.5,-7,2,13,7,4.5,0.2,1,25
65,245,Suicune,Water,,35,50,70,120,75,115,1250000,1,3,1,9.5,2.375,-6.5,-1.375,12.5,3.375,1,0.7,33.3,68
66,246,Larvitar,Rock,Ground,35,50,70,110,64,50,1250000,0,45,0,5.7,1.425,39.3,44.275,50.7,47.125,45.7,0.7,66.6,135.9
67,247,Pupitar,Rock,Ground,40,40,40,90,84,70,1250000,0,45,0,7.7,1.925,37.3,43.775,52.7,47.625,45.7,0.4,4.2,26.3
68,248,Tyranitar,Rock,Dark,40,50,40,90,134,110,1250000,1,45,0,12.2,3.05,32.8,43.15,57.2,49.25,46.2,0.4,4.2,26.3
69,248,Mega Tyranitar,Rock,Dark,50,40,40,40,164,150,1250000,1,45,0,15.7,3.925,29.3,41.775,60.7,49.625,45.7,0.4,7.5,46.9
70,249,Lugia,Psychic,Flying,65,65,65,115,90,130,1250000,1,3,1,11,2.75,-8,-1.75,14,3.75,1,1,32,32
71,250,Ho-Oh,Fire,Flying,65,75,65,115,130,90,1250000,1,3,1,11,2.75,-8,2.25,14,7.75,5,1.1,33,27.3
72,280,Ralts,Psychic,Fairy,50,65,50,55,25,25,1250000,0,235,0,2.5,0.625,232.5,234.375,237.5,235.625,235,0.8,19.6,30.6
73,281,Kirlia,Psychic,Fairy,80,95,80,85,35,35,1250000,0,120,0,3.5,0.875,116.5,119.125,123.5,120.875,120,1.7,76.6,26.5
74,282,Gardevoir,Psychic,Fairy,40,35,45,70,65,65,1250000,1,45,0,6.5,1.625,38.5,43.375,51.5,46.625,45,0.5,28,112
75,282,Mega Gardevoir,Psychic,Fairy,65,60,70,95,85,65,1250000,1,45,0,7.5,1.875,37.5,44.125,52.5,47.875,46,1,32,32
76,287,Slakoth,Normal,,55,70,50,60,60,60,1250000,0,255,0,6,1.5,249,253.5,261,256.5,255,0.7,19,38.8
77,288,Vigoroth,Normal,,90,100,80,95,80,80,1250000,0,120,0,8,2,112,118,128,122,120,1.9,155,42.9
78,289,Slaking,Normal,,40,40,40,90,160,100,1250000,1,45,0,13,3.25,32,44.75,58,51.25,48,0.6,12.4,34.4
79,304,Aron,Steel,Rock,65,50,50,90,70,100,1250000,0,180,0,8.5,2.125,171.5,176.375,188.5,180.625,178.5,1,20,20
80,305,Lairon,Steel,Rock,90,70,90,70,90,140,1250000,0,90,0,11.5,2.875,78.5,84.625,101.5,90.375,87.5,1.3,54,32
81,306,Aggron,Steel,Rock,25,105,55,90,110,180,1250000,1,45,0,14.5,3.625,30.5,37.875,59.5,45.125,41.5,0.9,19.5,24.1
82,306,Mega Aggron,Steel,,40,120,70,105,140,230,1250000,1,45,0,18.5,4.625,26.5,35.875,63.5,45.125,40.5,1.3,56.5,33.4
83,309,Electrike,Electric,,55,135,95,120,45,40,1250000,0,120,0,4.25,1.0625,115.75,119.1875,124.25,121.3125,120.25,1.5,48,21.3
84,310,Manectric,Electric,,55,175,95,150,75,60,1250000,1,45,0,6.75,1.6875,38.25,44.0625,51.75,47.4375,45.75,1.2,48,33.3
85,310,Mega Manectric,Electric,,70,35,35,35,75,80,1250000,1,45,0,7.75,1.9375,37.25,42.8125,52.75,46.6875,44.75,0.8,19.5,30.5
86,318,Carvanha,Water,Dark,80,50,60,45,90,20,1250000,0,225,0,5.5,1.375,219.5,227.125,230.5,229.875,228.5,1.5,70.5,31.3
87,319,Sharpedo,Water,Dark,90,65,85,55,120,40,1250000,1,60,0,8,2,52,62,68,66,64,1.6,130,50.8
88,319,Mega Sharpedo,Water,Dark,50,70,30,40,140,70,1250000,1,60,0,10.5,2.625,49.5,60.875,70.5,66.125,63.5,0.7,4,8.2
89,357,Tropius,Grass,Flying,65,85,45,55,68,83,1250000,1,200,0,7.55,1.8875,192.45,197.3625,207.55,201.1375,199.25,1,6.4,6.4
90,369,Relicanth,Water,Rock,80,100,70,70,90,130,1250000,1,25,0,11,2.75,14,20.25,36,25.75,23,1.7,15.5,5.4
91,371,Bagon,Dragon,,40,50,100,70,75,60,1250000,0,45,0,6.75,1.6875,38.25,44.0625,51.75,47.4375,45.75,0.9,45.5,56.2
92,372,Shelgon,Dragon,,80,80,120,100,95,100,1250000,0,45,0,9.75,2.4375,35.25,42.3125,54.75,47.1875,44.75,1.6,55,21.5
93,373,Salamence,Dragon,Flying,40,30,30,20,135,80,1250000,1,45,0,10.75,2.6875,34.25,45.0625,55.75,50.4375,47.75,0.4,20,125
94,373,Mega Salamence,Dragon,Flying,40,30,30,20,145,130,1250000,1,45,0,13.75,3.4375,31.25,42.3125,58.75,49.1875,45.75,0.4,20.3,126.9
95,374,Beldum,Steel,Psychic,55,45,45,35,55,80,1250000,0,3,0,6.75,1.6875,-3.75,0.0625,9.75,3.4375,1.75,1,105,105
96,375,Metang,Steel,Psychic,55,45,45,35,75,100,1250000,0,3,0,8.75,2.1875,-5.75,-0.4375,11.75,3.9375,1.75,1,110,110
97,376,Metagross,Steel,Psychic,80,55,65,45,135,130,1250000,1,3,0,13.25,3.3125,-10.25,-0.0625,16.25,6.5625,3.25,1.4,300,153.1
98,376,Mega Metagross,Steel,Psychic,80,55,65,45,145,150,1250000,1,3,0,14.75,3.6875,-11.75,-0.9375,17.75,6.4375,2.75,1.7,316,109.3
99,377,Regirock,Rock,,50,65,65,90,100,200,1250000,1,3,1,15,3.75,-12,-5.75,18,1.75,-2,1,30,30
100,378,Regice,Ice,,50,65,65,90,50,100,1250000,1,3,1,7.5,1.875,-4.5,-1.375,10.5,2.375,0.5,0.8,24,37.5
101,379,Registeel,Steel,,65,80,80,105,75,150,1250000,1,3,1,11.25,2.8125,-8.25,-3.5625,14.25,2.0625,-0.75,1.7,95,32.9
102,380,Latias,Dragon,Psychic,65,80,80,105,80,90,1250000,1,3,1,8.5,2.125,-5.5,0.375,11.5,4.625,2.5,1.7,80,27.7
103,380,Mega Latias,Dragon,Psychic,90,40,40,15,100,120,1250000,1,3,1,11,2.75,-8,-0.75,14,4.75,2,1.2,36,25
104,381,Latios,Dragon,Psychic,90,40,40,15,90,80,1250000,1,3,1,8.5,2.125,-5.5,1.375,11.5,5.625,3.5,1.2,36,25
105,381,Mega Latios,Dragon,Psychic,95,100,80,30,130,100,1250000,1,3,1,11.5,2.875,-8.5,1.625,14.5,7.375,4.5,1.6,78.5,30.7
106,382,Kyogre,Water,,95,130,80,30,100,90,1250000,1,3,1,9.5,2.375,-6.5,1.125,12.5,5.875,3.5,2,120,30
107,382,Primal Kyogre,Water,,95,100,70,30,150,90,1250000,1,3,1,12,3,-9,3,15,9,6,1.6,70.5,27.5
108,383,Groudon,Ground,,25,95,55,45,150,140,1250000,1,3,1,14.5,3.625,-11.5,-0.125,17.5,7.125,3.5,0.3,6,66.7
109,383,Primal Groudon,Ground,Fire,50,120,70,70,180,160,1250000,1,3,1,17,4.25,-14,-0.25,20,8.25,4,1,60,60
110,384,Rayquaza,Dragon,Flying,52,58,62,60,150,90,1250000,1,45,1,12,3,33,45,57,51,48,0.8,15,23.4
111,384,Mega Rayquaza,Dragon,Flying,52,58,62,55,180,100,1250000,1,45,1,14,3.5,31,45.5,59,52.5,49,0.8,42,65.6
112,385,Jirachi,Steel,Psychic,35,35,35,75,100,100,1250000,1,3,1,10,2.5,-7,0.5,13,5.5,3,1.4,39.2,20
113,386,Deoxys Normal Form,Psychic,,60,60,60,110,150,50,1250000,1,3,1,10,2.5,-7,5.5,13,10.5,8,1.8,85.2,26.3
114,386,Deoxys Defense Form,Psychic,,65,45,70,45,70,160,1250000,1,3,1,11.5,2.875,-8.5,-4.375,14.5,1.375,-1.5,1.1,90,74.4
115,386,Deoxys Attack Form,Psychic,,90,70,95,70,180,20,1250000,1,3,1,10,2.5,-7,8.5,13,13.5,11,1.7,120,41.5
116,386,Deoxys Speed Form,Psychic,,80,40,50,25,95,90,1250000,1,3,1,9.25,2.3125,-6.25,0.9375,12.25,5.5625,3.25,0.9,30,37
117,443,Gible,Dragon,Ground,80,40,50,25,70,45,1250000,0,45,0,5.75,1.4375,39.25,44.8125,50.75,47.6875,46.25,0.7,42,85.7
118,444,Gabite,Dragon,Ground,105,65,100,50,90,65,1250000,0,45,0,7.75,1.9375,37.25,44.3125,52.75,48.1875,46.25,1.2,30,20.8
119,445,Garchomp,Dragon,Ground,105,65,100,50,130,95,1250000,1,45,0,11.25,2.8125,33.75,43.9375,56.25,49.5625,46.75,1,52,52
120,445,Mega Garchomp,Dragon,Ground,30,45,25,40,170,115,1250000,1,45,0,14.25,3.5625,30.75,44.1875,59.25,51.3125,47.75,0.3,4,44.4
121,446,Munchlax,Normal,,50,85,45,70,85,40,1250000,0,50,0,6.25,1.5625,43.75,50.6875,56.25,53.8125,52.25,1.5,132.5,58.9
122,449,Hippopotas,Ground,,30,100,35,80,72,78,1250000,0,140,0,7.5,1.875,132.5,137.825,147.5,141.575,139.7,1.3,0.1,0.1
123,450,Hippowdon,Ground,,45,115,55,95,112,118,1250000,1,60,0,11.5,2.875,48.5,56.825,71.5,62.575,59.7,1.6,0.1,0
124,451,Skorupi,Poison,Bug,60,130,75,110,50,90,1250000,0,120,0,7,1.75,113,116.25,127,119.75,118,1.5,40.5,18
125,452,Drapion,Poison,Dark,60,170,95,130,90,110,1250000,1,45,0,10,2.5,35,41.5,55,46.5,44,1.4,40.5,20.7
126,455,Carnivine,Grass,,35,30,45,70,100,72,1250000,1,200,0,8.6,2.15,191.4,199.25,208.6,203.55,201.4,8.8,210,2.7
127,458,Mantyke,Water,Flying,60,43,90,42,20,50,1250000,0,25,0,3.5,0.875,21.5,22.625,28.5,24.375,23.5,1,32.4,32.4
128,459,Snover,Grass,Ice,85,73,115,67,62,50,1250000,0,120,0,5.6,1.4,114.4,119.2,125.6,122,120.6,1.6,75.6,29.5
129,460,Abomasnow,Grass,Ice,30,25,25,50,92,75,1250000,1,60,0,8.35,2.0875,51.65,58.7625,68.35,62.9375,60.85,0.4,6.5,40.6
130,460,Mega Abomasnow,Grass,Ice,55,50,50,75,132,105,1250000,1,60,0,11.85,2.9625,48.15,58.3875,71.85,64.3125,61.35,1.3,60,35.5
131,464,Rhyperior,Ground,Rock,40,55,55,100,140,130,1250000,1,30,0,13.5,3.375,16.5,27.125,43.5,33.875,30.5,0.5,10.4,41.6
132,473,Mamoswine,Ice,Ground,60,80,80,150,130,80,1250000,1,50,0,10.5,2.625,39.5,49.875,60.5,55.125,52.5,1.2,66.6,46.3
133,475,Gallade,Psychic,Fighting,60,60,45,40,125,65,1250000,1,45,0,9.5,2.375,35.5,45.625,54.5,50.375,48,0.4,2.5,15.6
134,475,Mega Gallade,Psychic,Fighting,95,125,75,55,165,95,1250000,1,45,0,13,3.25,32,45.25,58,51.75,48.5,2,120,30
135,480,Uxie,Psychic,,95,125,75,45,75,130,1250000,1,3,1,10.25,2.5625,-7.25,-2.3125,13.25,2.8125,0.25,10.9,415.6,3.5
136,481,Mesprit,Psychic,,50,40,50,35,105,105,1250000,1,3,1,10.5,2.625,-7.5,0.375,13.5,5.625,3,0.4,6.5,40.6
137,482,Azelf,Psychic,,60,50,80,45,125,70,1250000,1,3,1,9.75,2.4375,-6.75,3.3125,12.75,8.1875,5.75,1,45,45
138,483,Dialga,Steel,Dragon,60,50,80,45,120,120,1250000,1,3,1,12,3,-9,0,15,6,3,1,34,34
139,484,Palkia,Water,Dragon,50,35,110,87,120,100,1250000,1,3,1,11,2.75,-8,1.25,14,6.75,4,1.5,49.8,22.1
140,485,Heatran,Fire,Steel,50,35,110,76,90,106,1250000,1,3,1,9.8,2.45,-6.8,-0.25,12.8,4.65,2.2,1.4,50.2,25.6
141,486,Regigigas,Normal,,90,60,75,30,160,110,1250000,1,3,1,13.5,3.375,-10.5,2.125,16.5,8.875,5.5,1.2,65.5,45.5
142,487,Giratina,Ghost,Dragon,40,60,45,35,100,120,1250000,1,3,1,11,2.75,-8,-0.75,14,4.75,2,0.6,1,2.8
143,487,Giratina-Origin,Dragon,Ghost,65,85,70,60,120,100,1250000,1,3,1,11,2.75,-8,1.25,14,6.75,4,1.2,9.5,6.6
144,488,Cresselia,Psychic,,65,85,70,60,70,120,1250000,1,3,1,9.5,2.375,-6.5,-1.875,12.5,2.875,0.5,3,16,1.8
145,489,Phione,Water,,80,30,30,25,80,80,1250000,1,30,1,8,2,22,28,38,32,30,1,115,115
146,490,Manaphy,Water,,105,45,45,40,100,100,1250000,1,3,1,10,2.5,-7,0.5,13,5.5,3,1.9,120,33.2
147,491,Darkrai,Dark,,250,35,105,50,90,90,1250000,1,3,1,9,2.25,-6,0.75,12,5.25,3,1.1,34.6,28.6
148,493,Arceus,Normal,,65,100,40,60,120,120,1250000,1,3,1,12,3,-9,0,15,6,3,1,35,35
149,494,Victini,Psychic,Fire,105,40,80,90,100,100,1250000,1,3,1,10,2.5,-7,0.5,13,5.5,3,2.2,80,16.5
150,582,Vanillite,Ice,,105,60,100,100,50,50,1250000,0,255,0,5,1.25,250,253.75,260,256.25,255,2.2,100,20.7
151,583,Vanillish,Ice,,30,70,25,60,65,65,1250000,0,120,0,6.5,1.625,113.5,118.375,126.5,121.625,120,0.4,8,50
152,584,Vanilluxe,Ice,,55,95,45,85,95,85,1250000,1,45,0,9,2.25,36,43.25,54,47.75,45.5,1.2,25,17.4
153,602,Tynamo,Electric,,45,35,50,63,55,40,1250000,0,190,0,4.75,1.1875,185.25,189.5625,194.75,191.9375,190.75,0.6,15,41.7
154,603,Eelektrik,Electric,,80,65,80,68,85,70,1250000,0,60,0,7.75,1.9375,52.25,58.8125,67.75,62.6875,60.75,1.3,39,23.1
155,604,Eelektross,Electric,,30,70,55,85,115,80,1250000,1,30,0,9.75,2.4375,20.25,29.3125,39.75,34.1875,31.75,0.8,34.5,53.9
156,610,Axew,Dragon,,60,100,85,115,87,60,1250000,0,75,0,7.35,1.8375,67.65,74.5125,82.35,78.1875,76.35,1.1,80,66.1
157,611,Fraxure,Dragon,,40,100,120,90,117,70,1250000,0,60,0,9.35,2.3375,50.65,60.0125,69.35,64.6875,62.35,1.3,54.5,32.2
158,612,Haxorus,Dragon,,50,90,90,100,147,90,1250000,1,45,0,11.85,2.9625,33.15,44.8875,56.85,50.8125,47.85,1.4,56.8,29
159,627,Rufflet,Normal,Flying,70,55,80,105,83,50,1250000,0,190,0,6.65,1.6625,183.35,189.9875,196.65,193.3125,191.65,1.5,56,24.9
160,628,Braviary,Normal,Flying,65,115,95,95,123,75,1250000,1,60,0,9.9,2.475,50.1,59.925,69.9,64.875,62.4,1.4,40.6,20.7
161,629,Vullaby,Dark,Flying,65,95,85,105,55,75,1250000,0,190,0,6.5,1.625,183.5,187.375,196.5,190.625,189,1.1,30,24.8
162,630,Mandibuzz,Dark,Flying,65,100,85,93,65,105,1250000,1,60,0,8.5,2.125,51.5,55.875,68.5,60.125,58,1.3,44.5,26.3
163,633,Deino,Dark,Dragon,65,55,70,85,65,50,1250000,0,45,0,5.75,1.4375,39.25,44.3125,50.75,47.1875,45.75,1.5,55,24.4
164,634,Zweilous,Dark,Dragon,65,65,90,105,85,70,1250000,0,45,0,7.75,1.9375,37.25,43.8125,52.75,47.6875,45.75,1.7,59,20.4
165,635,Hydreigon,Dark,Dragon,75,40,70,110,105,90,1250000,1,45,0,9.75,2.4375,35.25,43.3125,54.75,48.1875,45.75,1.4,88.4,45.1
166,636,Larvesta,Bug,Fire,20,15,20,80,85,55,1250000,0,45,0,7,1.75,38,44.75,52,48.25,46.5,0.9,10,12.3
167,637,Volcarona,Bug,Fire,95,60,100,81,60,65,1250000,1,15,0,6.25,1.5625,8.75,13.1875,21.25,16.3125,14.75,6.5,235,5.6
168,638,Cobalion,Steel,Fighting,95,70,130,81,90,129,1250000,1,3,1,10.95,2.7375,-7.95,-1.6875,13.95,3.7875,1.05,6.5,305,7.2
169,639,Terrakion,Rock,Fighting,130,85,95,60,129,90,1250000,1,3,1,10.95,2.7375,-7.95,2.2125,13.95,7.6875,4.95,2.5,220,35.2
170,640,Virizion,Grass,Fighting,48,48,48,48,90,72,1250000,1,3,1,8.1,2.025,-5.1,1.875,11.1,5.925,3.9,0.3,4,44.4
171,641,Tornadus,Flying,,55,45,65,55,115,70,1250000,1,3,1,9.25,2.3125,-6.25,2.9375,12.25,7.5625,5.25,0.3,6.5,72.2
172,641,Tornadus-Therian,Flying,,130,110,95,65,100,80,1250000,1,3,1,9,2.25,-6,1.75,12,6.25,4,1,29,29
173,642,Thundurus,Electric,Flying,65,110,95,130,115,70,1250000,1,3,1,9.25,2.3125,-6.25,2.9375,12.25,7.5625,5.25,0.8,24.5,38.3
174,642,Thundurus-Therian,Electric,Flying,65,95,110,65,105,70,1250000,1,3,1,8.75,2.1875,-5.75,2.5625,11.75,6.9375,4.75,0.9,25,30.9
175,643,Reshiram,Dragon,Fire,65,85,75,40,120,100,1250000,1,3,1,11,2.75,-8,1.25,14,6.75,4,0.8,36.5,57
176,644,Zekrom,Dragon,Electric,35,90,55,35,150,120,1250000,1,3,1,13.5,3.375,-10.5,1.125,16.5,7.875,4.5,0.4,7.5,46.9
177,645,Landorus,Ground,Flying,70,115,70,55,125,90,1250000,1,3,1,10.75,2.6875,-7.75,2.0625,13.75,7.4375,4.75,1,35,35
178,645,Landorus-Therian,Ground,Flying,30,55,45,55,145,90,1250000,1,3,1,11.75,2.9375,-8.75,2.8125,14.75,8.6875,5.75,0.5,11.5,46
179,646,Kyurem,Dragon,Ice,60,65,70,80,130,90,1250000,1,3,1,11,2.75,-8,2.25,14,7.75,5,1.3,40.5,24
180,646,White Kyurem,Dragon,Ice,80,60,75,130,120,90,1250000,1,3,1,10.5,2.625,-7.5,1.875,13.5,7.125,4.5,1.8,59,18.2
