,Number,Name,Type1,Type2,Att,Def,Experience,FinalEvolution,CatchRate,Legendary
626,193,Yanma,Bug,Flying,65,45,1000000,0,75,0
627,194,Wooper,Water,Ground,45,45,1000000,0,255,0
636,204,Pineco,Bug,,65,90,1000000,0,190,0
644,216,Teddiursa,Normal,,80,50,1000000,0,120,0
646,218,Slugma,Fire,,40,40,1000000,0,190,0
648,223,Remoraid,Water,,65,35,1000000,0,190,0
651,231,Phanpy,Ground,,60,60,1000000,0,120,0
653,233,Porygon2,Normal,,80,90,1000000,0,45,0
654,236,Tyrogue,Fighting,,35,35,1000000,0,75,0
656,238,Smoochum,Ice,Psychic,30,15,1000000,0,45,0
657,239,Elekid,Electric,,63,37,1000000,0,45,0
658,240,Magby,Fire,,75,37,1000000,0,45,0
659,261,Poochyena,Dark,,55,35,1000000,0,255,0
661,263,Zigzagoon,Normal,,30,41,1000000,0,255,0
662,263,Galarian Zigzagoon,Dark,Normal,30,41,1000000,0,255,0
664,264,Galarian Linoone,Dark,Normal,70,61,1000000,0,90,0
665,265,Wurmple,Bug,,45,35,1000000,0,255,0
666,266,Silcoon,Bug,,35,55,1000000,0,120,0
668,268,Cascoon,Bug,,35,55,1000000,0,120,0
670,278,Wingull,Water,Flying,30,30,1000000,0,190,0
672,283,Surskit,Bug,Water,30,32,1000000,0,200,0
674,299,Nosepass,Rock,,45,135,1000000,0,255,0
675,307,Meditite,Fighting,Psychic,40,55,1000000,0,180,0
680,322,Numel,Fire,Ground,60,40,1000000,0,255,0
684,339,Barboach,Water,Ground,48,43,1000000,0,190,0
686,343,Baltoy,Ground,Psychic,40,55,1000000,0,255,0
689,360,Wynaut,Psychic,,23,48,1000000,0,125,0
690,361,Snorunt,Ice,,50,50,1000000,0,190,0
693,399,Bidoof,Normal,,45,40,1000000,0,255,0
695,412,Burmy,Bug,,29,45,1000000,0,120,0
696,413,Wormadam Plant Cloak,Bug,Grass,59,85,1000000,0,45,0
697,413,Wormadam Sandy Cloak,Bug,Ground,79,105,1000000,0,45,0
698,413,Wormadam Trash Cloak,Bug,Steel,69,95,1000000,0,45,0
701,418,Buizel,Water,,65,35,1000000,0,190,0
703,420,Cherubi,Grass,,35,45,1000000,0,190,0
705,422,Shellos,Water,,48,48,1000000,0,190,0
707,427,Buneary,Normal,,66,44,1000000,0,190,0
710,434,Stunky,Poison,Dark,63,47,1000000,0,225,0
712,436,Bronzor,Steel,Psychic,24,86,1000000,0,255,0
714,438,Bonsly,Rock,,80,95,1000000,0,255,0
715,439,Mime Jr.,Psychic,Fairy,25,45,1000000,0,145,0
717,453,Croagunk,Poison,Fighting,61,40,1000000,0,140,0
736,504,Patrat,Normal,,55,39,1000000,0,255,0
738,509,Purrloin,Dark,,50,37,1000000,0,255,0
740,511,Pansage,Grass,,53,48,1000000,0,190,0
742,513,Pansear,Fire,,53,48,1000000,0,190,0
744,515,Panpour,Water,,53,48,1000000,0,190,0
746,522,Blitzle,Electric,,60,32,1000000,0,190,0
748,527,Woobat,Psychic,Flying,45,43,1000000,0,190,0
750,529,Drilbur,Ground,,85,40,1000000,0,120,0
754,546,Cottonee,Grass,Fairy,27,60,1000000,0,190,0
756,548,Petilil,Grass,,35,50,1000000,0,190,0
760,557,Dwebble,Bug,Rock,65,85,1000000,0,190,0
762,559,Scraggy,Dark,Fighting,75,70,1000000,0,180,0
765,562,Yamask,Ghost,,30,85,1000000,0,190,0
766,562,Galarian Yamask,Ground,Ghost,55,85,1000000,0,190,0
768,564,Tirtouga,Water,Rock,78,103,1000000,0,45,0
770,566,Archen,Rock,Flying,112,45,1000000,0,45,0
772,568,Trubbish,Poison,,50,62,1000000,0,190,0
774,580,Ducklett,Water,Flying,44,50,1000000,0,190,0
776,585,Deerling,Normal,Grass,60,50,1000000,0,190,0
779,588,Karrablast,Bug,,75,45,1000000,0,200,0
781,590,Foongus,Grass,Poison,55,45,1000000,0,190,0
783,592,Frillish,Water,Ghost,40,50,1000000,0,190,0
785,595,Joltik,Bug,Electric,47,50,1000000,0,190,0
787,597,Ferroseed,Grass,Steel,50,91,1000000,0,255,0
789,605,Elgyem,Psychic,,55,55,1000000,0,255,0
791,613,Cubchoo,Ice,,70,40,1000000,0,120,0
794,616,Shelmet,Bug,,40,85,1000000,0,200,0
799,622,Golett,Ground,Ghost,74,50,1000000,0,190,0
801,624,Pawniard,Dark,Steel,85,70,1000000,0,120,0
806,659,Bunnelby,Normal,,36,38,1000000,0,255,0
808,664,Scatterbug,Bug,,35,40,1000000,0,255,0
809,665,Spewpa,Bug,,22,60,1000000,0,120,0
811,669,Flab­Tb­T,Fairy,,38,39,1000000,0,225,0
812,670,Floette,Fairy,,45,47,1000000,0,120,0
814,672,Skiddo,Grass,,65,48,1000000,0,200,0
816,674,Pancham,Fighting,,82,62,1000000,0,220,0
819,677,Espurr,Psychic,,48,54,1000000,0,190,0
821,679,Honedge,Steel,Ghost,80,100,1000000,0,180,0
822,680,Doublade,Steel,Ghost,110,150,1000000,0,90,0
823,681,Aegislash Shield Form,Steel,Ghost,70,140,1000000,0,45,0
824,681,Aegislash Blade Form,Steel,Ghost,140,70,1000000,0,45,0
825,682,Spritzee,Fairy,,52,60,1000000,0,200,0
827,684,Swirlix,Fairy,,48,66,1000000,0,200,0
829,686,Inkay,Dark,Psychic,54,53,1000000,0,190,0
831,688,Binacle,Rock,Water,52,67,1000000,0,120,0
833,690,Skrelp,Poison,Water,60,60,1000000,0,225,0
835,694,Helioptile,Electric,Normal,38,33,1000000,0,190,0
837,696,Tyrunt,Rock,Dragon,89,77,1000000,0,45,0
839,698,Amaura,Rock,Ice,59,50,1000000,0,45,0
844,708,Phantump,Ghost,Grass,70,48,1000000,0,120,0
846,710,Small Size Pumpkaboo,Ghost,Grass,66,70,1000000,0,120,0
847,710,Average Size Pumpkaboo,Ghost,Grass,66,70,1000000,0,120,0
848,710,Large Size Pumpkaboo,Ghost,Grass,66,70,1000000,0,120,0
849,710,Super Size Pumpkaboo,Ghost,Grass,66,70,1000000,0,120,0
850,711,Small Size Gourgeist,Ghost,Grass,85,122,1000000,0,60,0
851,711,Average Size Gourgeist,Ghost,Grass,90,122,1000000,0,60,0
852,711,Large Size Gourgeist,Ghost,Grass,95,122,1000000,0,60,0
853,711,Super Size Gourgeist,Ghost,Grass,100,122,1000000,0,60,0
854,712,Bergmite,Ice,,69,85,1000000,0,190,0
856,714,Noibat,Flying,Dragon,30,35,1000000,0,190,0
858,731,Pikipek,Normal,Flying,75,30,1000000,0,255,0
859,732,Trumbeak,Normal,Flying,85,50,1000000,0,120,0
861,734,Yungoos,Normal,,70,30,1000000,0,255,0
863,736,Grubbin,Bug,,62,45,1000000,0,255,0
864,737,Charjabug,Bug,Electric,82,95,1000000,0,120,0
866,739,Crabrawler,Fighting,,82,57,1000000,0,225,0
872,742,Cutiefly,Bug,Fairy,45,40,1000000,0,190,0
874,744,Rockruff,Rock,,65,40,1000000,0,190,0
875,745,Lycanroc,Rock,,115,65,1000000,0,90,0
876,745,Lycanroc Midnight,Rock,,115,75,1000000,0,90,0
877,745,Lycanroc Dusk,Rock,,117,65,1000000,0,90,0
878,747,Mareanie,Poison,Water,53,62,1000000,0,190,0
880,749,Mudbray,Ground,,100,70,1000000,0,190,0
882,751,Dewpider,Water,Bug,40,52,1000000,0,200,0
884,753,Fomantis,Grass,,55,35,1000000,0,190,0
886,755,Morelull,Grass,Fairy,35,55,1000000,0,190,0
888,757,Salandit,Poison,Fire,44,40,1000000,0,120,0
890,759,Stufful,Normal,Fighting,75,50,1000000,0,140,0
892,767,Wimpod,Bug,Water,35,40,1000000,0,90,0
894,769,Sandygast,Ghost,Ground,55,80,1000000,0,140,0
902,819,Skwovet,Normal,,55,55,1000000,0,255,0
904,824,Blipbug,Bug,,20,20,1000000,0,255,0
905,825,Dottler,Bug,Psychic,35,80,1000000,0,120,0
907,829,Gossifleur,Grass,,40,60,1000000,0,190,0
909,831,Wooloo,Normal,,40,55,1000000,0,255,0
911,833,Chewtle,Water,,64,50,1000000,0,255,0
913,843,Silicobra,Ground,,57,75,1000000,0,255,0
916,850,Sizzlipede,Fire,Bug,65,45,1000000,0,190,0
918,854,Sinistea,Ghost,,45,45,1000000,0,120,0
920,859,Impidimp,Dark,Fairy,45,30,1000000,0,255,0
921,860,Morgrem,Dark,Fairy,60,45,1000000,0,120,0
928,868,Milcery,Fairy,,40,40,1000000,0,200,0
932,872,Snom,Ice,Bug,25,35,1000000,0,190,0
935,878,Cufant,Steel,,80,49,1000000,0,190,0
938,35,Clefairy,Fairy,,45,48,800000,0,150,0
940,39,Jigglypuff,Normal,Fairy,45,20,800000,0,170,0
942,113,Chansey,Normal,,5,5,800000,0,30,0
943,165,Ledyba,Bug,Flying,20,30,800000,0,255,0
945,167,Spinarak,Bug,Poison,60,40,800000,0,255,0
947,173,Cleffa,Fairy,,25,28,800000,0,150,0
948,174,Igglybuff,Normal,Fairy,30,15,800000,0,170,0
949,175,Togepi,Fairy,,20,65,800000,0,190,0
950,176,Togetic,Fairy,Flying,40,85,800000,0,75,0
951,183,Marill,Water,Fairy,20,50,800000,0,190,0
953,190,Aipom,Normal,,70,55,800000,0,45,0
954,200,Misdreavus,Ghost,,60,60,800000,0,45,0
955,209,Snubbull,Fairy,,80,50,800000,0,190,0
958,222,Galarian Corsola,Ghost,,55,100,800000,0,60,0
962,298,Azurill,Normal,Fairy,20,40,800000,0,150,0
963,300,Skitty,Normal,,45,45,800000,0,255,0
967,325,Spoink,Psychic,,25,35,800000,0,255,0
972,353,Shuppet,Ghost,,75,35,800000,0,225,0
975,355,Duskull,Ghost,,40,90,800000,0,190,0
976,356,Dusclops,Ghost,,70,130,800000,0,90,0
981,431,Glameow,Normal,,55,42,800000,0,190,0
983,433,Chingling,Psychic,,30,50,800000,0,120,0
984,440,Happiny,Normal,,5,5,800000,0,130,0
987,517,Munna,Psychic,,25,45,800000,0,190,0
991,572,Minccino,Normal,,50,40,800000,0,255,0
995,746,Wishiwashi,Water,,20,20,800000,0,60,0
996,746,Wishiwashi School,Water,,140,130,800000,0,60,0
999,827,Nickit,Dark,,28,28,800000,0,255,0
1001,835,Yamper,Electric,,45,50,800000,0,255,0
1004,876,Indeedee,Psychic,Normal,65,55,800000,0,30,0
1005,290,Nincada,Bug,Ground,45,90,600000,0,255,0
1009,333,Swablu,Normal,Flying,40,60,600000,0,255,0
1013,345,Lileep,Rock,Grass,41,77,600000,0,45,0
1015,347,Anorith,Rock,Bug,95,50,600000,0,45,0
1017,349,Feebas,Water,,15,20,600000,0,255,0
1019,366,Clamperl,Water,,64,85,600000,0,255,0
1022,408,Cranidos,Rock,,125,40,600000,0,45,0
1024,410,Shieldon,Rock,Steel,42,118,600000,0,45,0
1026,456,Finneon,Water,,49,56,600000,0,190,0
1028,840,Applin,Grass,Dragon,40,80,600000,0,255,0
1031,32,Nidoran??Poison,,"['Hustle', 'Poison Point', 'Rivalry']",40,40,0,235,0,0
